"V1","V2"
"4.712","6087-Lupo"
"0.221","21-Lutetia-"
"3.579","2713-Luxembourg"
"0.181","110-Lydia"
"0.107","1353-Maartje"
"0.174","2094-Magnitka"
"0.217","1459-Magnya"
"0.062","66-Maja"
"3.812","7233-Majella"
"14.08","1527-Malmquista"
"5.928","749-Malzovia"
"0.132","758-Mancunia"
NA,"20329-Manfro"
"122.3","870-Manto"
"3.760","5929-Manzano"
"0.103","565-Marbachia"
"3.837","1730-Marceline"
"0.076","1332-Marconia"
"0.125","310-Margarita"
"6.010","1175-Margo"
"4.566","1486-Marilyn"
"0.065","1010-Marlene"
"0.036","746-Marlu"
"0.040","1841-Masaryk"
"0.210","20-Massalia"
"0.223","1592-Mathieu"
"0.044","253-Mathilde-"
"6.729","3281-Maupertuis"
"0.283","1607-Mavis"
"0.053","873-Mechthild"
"0.046","212-Medea"
"0.233","149-Medusa"
"0.065","56-Melete"
"0.223","18-Melpomene"
"0.243","188-Menippe"
"4.977","1299-Mertona"
"0.221","808-Merxia"
"3.649","1949-Messina"
"6.142","1050-Meta"
"0.035","792-Metcalfia"
"0.118","9-Metis"
"8.800","1753-Mieke"
"0.146","1630-Milet"
"0.055","2659-Millis"
"0.034","1127-Mimi"
"0.073","93-Minerva"
"3.036","1088-Mitaka"
"67.50","4486-Mithra"
"2.742","6905-Miyazaki"
"13.52","5008-Miyazawakenji"
NA,"2528-Mohler"
"4.131","20570-Molchan"
"4.184","3678-Mongmanwai"
"4.546","797-Montana"
"5.400","5596-Morbidelli"
"0.256","787-Moskva"
"8.706","1472-Muonio"
"0.241","600-Musa"
NA,"7835-Myroncope"
"0.061","381-Myrrha"
"5.470","1758-Naantali"
"11.01","1906-Naef"
"0.075","1534-Nasi"
"0.199","534-Nassovia"
"13.20","1121-Natascha"
"0.233","192-Nausikaa"
"64.23","1634-Ndola"
"7.810","1223-Neckar"
"7.100","1547-Nele"
"0.093","51-Nemausa"
"0.185","287-Nephthys"
"0.550","4660-Nereus"
"0.045","601-Nerthus"
"0.305","71-Niobe"
"9.58","7001-Noether"
"15.09","2382-Nonie"
"6.645","2495-Noviomagum"
"3.985","32776-Nriag"
"4.774","1206-Numerowia"
"0.203","1368-Numidia"
"0.040","150-Nuwa"
"0.235","875-Nymphe"
"0.546","44-Nysa"
"0.230","3908-Nyx"
"0.340","5489-Oberkochen"
"8.243","2606-Odessa"
"32.00","4801-Ohre"
"0.062","1002-Olbersia"
"0.160","1022-Olympiada"
"22.50","1389-Onnie"
NA,"10627-Ookuninushi"
"10.27","1691-Oort"
"4.449","1738-Oosterhoff"
"0.061","171-Ophelia"
"0.043","1080-Orchis"
"0.057","350-Ornamenta"
"3.819","1837-Osita"
"0.115","343-Ostara"
"0.134","1207-Ostenia"
"0.179","1126-Otero"
"0.183","670-Ottegebe"
"0.225","994-Otthild"
"2.678","2962-Otto"
"7.997","1061-Paeonia"
"0.075","1889-Pakhmutova"
"0.159","2-Pallas"
"0.066","372-Palma"
"0.063","1548-Palomaa"
"0.301","55-Pandora"
"0.199","471-Papagena"
"9.81","2791-Paradise"
"0.180","11-Parthenope"
NA,"1978-Patrice"
"0.060","436-Patricia"
"0.251","278-Paulina"
"0.349","537-Pauly"
"0.166","679-Pax"
"0.160","201-Penelope"
"0.063","271-Penthesilea"
"0.199","1102-Pepita"
"0.184","399-Persephone"
"0.066","1716-Peter"
"6.580","4507-Petercollins"
"4.333","4483-Petofi"
"47.05","3492-Petra-Pepi"
"0.237","482-Petrina"
"0.238","830-Petropolitana"
"0.180","968-Petunia"
NA,"12774-Pfund"
"0.149","174-Phaedra"
"4.538","296-Phaetusa"
"0.228","274-Philagoria"
"0.176","631-Philippina"
"0.230","196-Philomela"
"0.231","25-Phocaea"
"0.182","1291-Phryne"
"0.231","189-Phthia"
"0.185","556-Phyllis"
"0.106","614-Pia"
"0.154","1366-Piccolo"
"0.118","803-Picka"
"0.056","784-Pickeringia"
"0.197","312-Pierretta"
"0.066","1082-Pirola"
"0.201","484-Pittsburghia"
"0.094","595-Polyxena"
"0.256","32-Pomona"
"0.143","757-Portlandia"
"0.156","1572-Posnania"
"0.014","1484-Postrema"
"17.58","12753-Povenmire"
"6.558","1192-Prisma"
"0.197","26-Proserpina"
"0.049","147-Protogeneia"
"0.072","474-Prudentia"
"0.120","16-Psyche"
"0.046","762-Pulcova"
"0.165","1659-Punkaharju"
"4.117","632-Pyrrha"
"0.130","2100-Ra-Shalom-"
"8.751","2581-Radegast"
"0.139","1450-Raimonda"
"0.159","1137-Raissa"
"0.219","708-Raphaela"
"0.139","1148-Rarahu"
"0.085","572-Rebekka"
"0.111","573-Recha"
"4.020","1111-Reinmuthia"
"15.95","1792-Reni"
"7.885","1204-Renzia"
"0.037","1081-Reseda"
"0.056","528-Rezia"
"4.715","166-Rhodope"
NA,"1230-Riceia"
"5.296","9983-Rickfienberg"
"10.44","1514-Ricouxa"
"3.278","3428-Roberts"
NA,"1557-Roehla"
"0.103","920-Rogeria"
"18.84","8860-Rohloff"
"0.101","900-Rosalinde"
"0.243","540-Rosamunde"
"0.158","1350-Rosselia"
"0.055","874-Rotraut"
"5.249","1518-Rovaniemi"
"0.493","317-Roxane"
"3.866","5208-Royer"
"20.00","4570-Runcorn"
"2.739","353-Ruperto-Carola"
"0.159","798-Ruth"
"0.286","3285-Ruth"
"0.278","1249-Rutherfordia"
"0.390","665-Sabine"
"5.256","2709-Sagan"
"4.969","4606-Saheki"
"0.048","1715-Salli"
"0.197","562-Salome"
"0.034","1436-Salonta"
"4.230","1083-Salvia"
"3.388","5685-Sanenobufukui"
"8.182","16847-Sanpoloamosciano"
"0.185","80-Sappho"
"0.043","1012-Sarema"
"5.350","1494-Savo"
"0.145","1742-Schaifers"
"0.038","596-Scheila"
"0.060","1743-Schmidt"
"3.294","2384-Schulhof"
"0.031","155-Scylla"
"10.49","1482-Sebastiana"
"5.490","2785-Sedov"
NA,"3822-Segovia"
"4.320","1521-Seinajoki"
"0.199","584-Semiramis"
"0.222","550-Senta"
"3.038","1103-Sequoia"
"6.414","1648-Shajna"
"5.946","2510-Shandong"
"0.030","1902-Shaposhnikov"
"14.71","2425-Shenzhen"
"3.930","1833-Shmakova"
"0.069","386-Siegena"
"0.049","1493-Sigrid"
"0.341","502-Sigune"
"0.054","257-Silesia"
NA,"1733-Silke"
"9.66","1446-Sillanpaa"
"7.048","1317-Silvretta"
"0.256","116-Sirona"
"4.810","1130-Skuld"
"6.980","3773-Smithsonian"
NA,"2836-Sobolev"
"8.097","3279-Solon"
"8.168","6755-Solov'yanenko"
"6.913","1430-Somalia"
"5.338","3258-Somnium"
"2.829","2455-Somville"
"0.144","731-Sorga"
"3.690","6882-Sormano"
NA,"7632-Stanislav"
"5.661","1147-Stavropolis"
"6.049","2867-Steins"
"0.073","220-Stephania"
"3.490","6403-Steverin"
"8.670","1386-Storeria"
"0.196","417-Suevia"
"0.056","1424-Sundmania"
"8.164","1927-Suvanto"
"0.047","2393-Suzuki"
NA,"7896-Svejk"
"0.168","519-Sylvania"
"0.043","87-Sylvia"
"7.417","3097-Tacitus"
"0.242","1089-Tama"
NA,"5993-Tammydickinson"
"0.262","825-Tanina"
"0.079","1360-Tarka"
"6.370","6510-Tarry"
"0.043","769-Tatjana"
"0.224","2957-Tatsuo"
"0.177","512-Taurinensis"
"10.90","5006-Teller"
"0.065","345-Tercidina"
"0.250","1980-Tezcatlipoca"
"0.254","23-Thalia"
"0.054","586-Thekla"
"0.067","24-Themis"
"4.828","440-Theodora"
"0.096","1545-Thernoe"
"0.172","17-Thetis"
"0.067","88-Thisbe"
"0.065","1023-Thomana"
"0.055","2064-Thomsen"
"0.047","934-Thuringia"
"0.275","115-Thyra"
"0.262","753-Tiflis"
"3.671","1933-Tinchen"
"7.400","687-Tinette"
"13.36","1400-Tirela"
"0.131","1801-Titicaca"
"0.066","732-Tjilaki"
"0.270","138-Tolosa"
"0.135","4896-Tomoegozen"
"0.122","590-Tomyris"
"74.91","6487-Tonyspear"
"176.0","4179-Toutatis"
"8.471","3735-Trebon"
"6.470","1496-Turku"
NA,"3261-Tvardovskij"
"0.168","258-Tyche"
"2.720","1619-Ueta"
"7.280","1709-Ukraina"
"0.083","885-Ulrike"
"0.271","714-Ulula"
"3.041","2112-Ulyanov"
"0.062","160-Una"
"0.211","306-Unitas"
"3.262","6000-United"
"9.60","6166-Univsima"
"0.171","30-Urania"
"5.567","3722-Urata"
"0.223","167-Urda"
"0.084","1838-Ursa"
"4.096","2741-Valdivia"
"3.570","3725-Valsecchi"
"0.046","1263-Varsavia"
"0.064","1312-Vassar"
"0.169","416-Vaticana"
"0.047","499-Venusia"
"0.208","245-Vera"
"0.062","490-Veritas"
"4.320","5231-Verne"
"3.022","5317-Verolacqua"
"0.423","4-Vesta--"
"0.060","144-Vibilia"
"0.176","12-Victoria"
"7.830","1310-Villigera"
"30.50","1449-Virtanen"
"7.280","8132-Vitginzburg"
"20.52","1623-Vivian"
NA,"6161-Vojno-Yasenetsky"
"3.756","4611-Vulkaneifel"
"3.201","1600-Vyssotsky"
"3.314","1704-Wachmann"
NA,"5960-Wakkanai"
"0.062","877-Walkure"
"10.22","1946-Walraven"
"0.149","1352-Wawel"
"14.68","2802-Weisell"
"16.79","1950-Wempe"
"0.153","621-Werdandi"
"0.203","226-Weringia"
"3.546","1945-Wesselink-"
"0.050","747-Winchester"
"0.366","852-Wladilena"
"0.060","690-Wratislavia"
"0.201","1747-Wright"
"3.269","1785-Wurm"
"0.220","625-Xenia"
"4.490","6026-Xenophanes"
"4.034","3786-Yamada"
"3.450","19848-Yeungchuchiu"
"0.203","54509-YORP"
"0.288","351-Yrsa"
"3.888","1554-Yugoslavia"
"1.100","4917-Yurilvovia"
"0.163","1301-Yvonne"
"0.146","531-Zerlina"
"0.118","689-Zita"
"5.753","1793-Zoya"
